id,rank,name,genre_id,genre_name,title,last_build_date,item_code,item_price,review_count,review_average,shop_code,shop_name
314,20,治一郎(じいちろう)のバウムクーヘン　　【バームクーヘン】【楽ギフ_包装】【楽ギフ_のし】【楽ギフ_のし宛書】【しっとり/お取り寄せ/箱入り】【内祝い/ブライダル/結婚】【ランキング入り/グルメ大賞】【お返し/御礼/お礼】【box入り】【お歳暮/お年賀】,201117,スイーツ・お菓子,,,yataro:10000008,1890.0,2753,4.61,yataro,ラスクとバームクーヘンのヤタロー
315,16,焼菓子詰合せ 8種20個入【patisserie KIHACHI パティスリー キハチ】5/16-22【楽天ランキング】洋菓子ギフトセット部門1位受賞！【楽ギフ_包装】【内祝い・引き出物・送料無料】,502910,スイーツ・お菓子,,,,,,,,
316,23,送料込(※)グルメ大賞4年連続受賞・258週1位人気の魔法の壷プリンと半熟チーズケーキの神戸ふわとろセット【お試し付】【※北海道・沖縄除く】【ネット限定 TVで紹介 雑誌で紹介 楽ギフ_のし宛書 楽ギフ_メッセ入力 神戸フランツ】【お歳暮 クリスマス】,502904,スイーツ・お菓子,,,frantz:10000526,3333.0,7604,4.32,frantz,神戸フランツ
317,18,【送料無料】毎年瞬間完売！イチゴごろごろタルトケーキ【クリスマスケーキ】【数量限定】【ギフト、プレゼント】,509666,スイーツ・お菓子,,,,,,,,
318,22,【数量限定】吉祥一陽来復 大缶 （係数25）■□＜お歳暮・お年賀・内祝に＞【楽ギフ_のし】【楽ギフ_のし宛書】【2P13Dec13】,203239,スイーツ・お菓子,,,ogurasansou:10000476,3990.0,515,4.81,ogurasansou,京都せんべいおかき専門店小倉山荘
319,20,【訳あり】【数量限定】形や大きさは不揃いだけど味は絶品！何味かはお楽しみ♪【元祖・訳あり生チョコの切れはし】【VB】,201147,スイーツ・お菓子,,,,,,,,
320,21,【数量限定】祝い歳時記(お年賀用)　■□化粧箱12袋（1袋8ヶ入）（係数8）■□＜お歳暮・お年賀・帰省土産・内祝に＞,502913,スイーツ・お菓子,,,,,,,,
321,17,クリスマスプランタンヌーボー楽天ランキング7年連続第1位フルーツロールのクリスマス限定ロールケーキ【送料無料】【クリスマスケーキ】【2sp_121217_red】【RCP】【マラソン201312_送料無料】,214143,スイーツ・お菓子,,,kagetudo:10001121,2980.0,99,4.39,kagetudo,ロールケーキの花月堂
322,24,楽天年間ランキング7年連続第1位！！プランタンヌーボー楽天グルメ大賞20122012年度年間ロールケーキ部門第1位！【送料無料】 【ケーキ】【RCP】【ロールケーキ】【花月堂】【送料無料】【お歳暮】【マラソン201312_送料無料】,214143,スイーツ・お菓子,,,kagetudo:10000449,2280.0,13144,4.44,kagetudo,ロールケーキの花月堂
323,9,【期間限定ポイント10倍】【国内送料無料】累計30万セット！京都老舗おかき 小倉山荘15種せんべい（煎餅）＋和菓子1種 お試しセット！同梱分も送料無料【smtb-k】/福袋/送料無料 ポイント10倍,502917,スイーツ・お菓子,,,ogurasansou:10000147,1260.0,25768,4.61,ogurasansou,京都せんべいおかき専門店小倉山荘
324,5,【送料無料】【もち吉おせんべい・おかきこだわりお試しセット】お味見セット　もちの縁　味くらべ (商品カタログ入り)［※お味見セットのみのご注文の場合、代金引換・期日時間指定はできません。］,502917,スイーツ・お菓子,,,mochikichi:10000534,1050.0,7205,4.66,mochikichi,おせんべい・おかきの老舗　もち吉
325,26,【12月25日～順次出荷】[割れチョコミックス5]タカ＆トシさん絶賛！好みで選べる割れチョコの訳あり品12種1.2kg！4年連続楽天上半期ランキング上位入賞☆行列ができる法律相談所でも紹介【楽ギフ_包装/楽ギフ_のし/セール】,562619,スイーツ・お菓子,,,,,,,,
326,27,お歳暮・お年賀ギフト◎送料無料 竹かご風呂敷スイーツセット♪ランキング入り お誕生日プレゼント 送料込 人気の御歳暮 御年賀 帰省土産プレゼント お菓子・和菓子・洋菓子詰め合わせ【あす楽】【RCP】,200104,スイーツ・お菓子,,,,,,,,
327,28,【ポイント10倍】【あす楽対応】【送料込み】クリスマス早割◆楽天ランキング1位魅惑のザッハトルテ 豪華丸箱入 【クリスマス】【smtb-t】【お祝】【プレゼント】【お誕生日】【婚礼】【内祝】【ポイント　倍】,410950,スイーツ・お菓子,,,,,,,,
328,29,【送料無料】豪華！ショーコラ人気ベスト10入り★年末スペシャルset！【Best of 2013 福袋】【VB】,112684,スイーツ・お菓子,,,,,,,,
329,30,【キャラデコ】【予約販売】アイカツ！キラメキドレスケーキ　キャラデコクリスマス　（いちごケーキ）　5号サイズ　【数量限定】【期間限定】,112684,スイーツ・お菓子,,,,,,,,
330,5,SNOW DOMEの約束 IN TOKYO DOME 2013.11.16 【初回生産限定】 [ Kis-My-Ft2 ],300339,CD・DVD・楽器,,,book:16742297,6224.0,31,4.81,book,楽天ブックス
331,2,Mr.Children ［（an imitation） blood orange］Tour [ Mr.Children ],300339,CD・DVD・楽器,,,book:16665522,4350.0,46,4.91,book,楽天ブックス
332,3,One Song From Two Hearts(初回限定盤 CD+DVD) [ コブクロ ],101320,CD・DVD・楽器,,,book:16662982,2952.0,20,4.85,book,楽天ブックス
333,7,Mr.Children ［（an imitation） blood orange］Tour 【Blu-ray】 [ Mr.Children ],505042,CD・DVD・楽器,,,book:16665523,5100.0,21,4.95,book,楽天ブックス
334,6,東方神起 LIVE TOUR 2013 ～TIME～ FINAL in NISSAN STADIUM [ 東方神起 ],300339,CD・DVD・楽器,,,book:16702771,4725.0,48,4.98,book,楽天ブックス
335,13,シャレオツ/ハロー【初回限定盤A＋初回限定盤B＋通常盤 初回プレス分セット】(3形態別絵柄 web特典ポストカード付) [ SMAP ],101320,CD・DVD・楽器,,,book:16716281,4050.0,13,4.85,book,楽天ブックス
336,12,ラブライブ! School idol project::Solo Live! collection Memorial BOX 2(完全生産限定盤) [ (アニメーション) ],101326,CD・DVD・楽器,,,book:16753134,18900.0,0,0.0,book,楽天ブックス
337,1,AKB48 2013 真夏のドームツアー～まだまだ、やらなきゃいけないことがある～[スペシャルBOX 10枚組Blu-ray]【Blu-ray】 [ AKB48 ],505042,CD・DVD・楽器,,,book:16670739,18674.0,2,4.5,book,楽天ブックス
338,8,THE BEST/BLUE IMPACT(CD+DVD) [ 三代目 J Soul Brothers from EXILE TRIBE ],101320,CD・DVD・楽器,,,book:16715122,4091.0,12,5.0,book,楽天ブックス
339,10,B'z LIVE-GYM Pleasure 2013 ENDLESS SUMMER -XXV BEST- 【完全盤】【Blu-ray】 [ B'z ],505042,CD・DVD・楽器,,,book:16739816,6930.0,29,4.97,book,楽天ブックス
340,4,劇場版銀魂 完結篇 万事屋よ永遠なれ 【完全生産限定版】 [ 杉田智和 ],101375,CD・DVD・楽器,,,book:16620264,6552.0,12,4.67,book,楽天ブックス
341,9,AKB48 2013 真夏のドームツアー～まだまだ、やらなきゃいけないことがある～[スペシャルBOX 10枚組DVD] [ AKB48 ],300339,CD・DVD・楽器,,,book:16670737,16424.0,10,3.8,book,楽天ブックス
342,16,モンスターズ・ユニバーシティ　MovieNEX【Blu-ray】 [ ジョン・グッドマン ],505041,CD・DVD・楽器,,,book:16634215,3276.0,254,4.77,book,楽天ブックス
343,24,CD ラブライブ！Solo Live！ collection Memorial BOX II / μ’s(ミューズ)[ランティス]《04月予約》,101326,CD・DVD・楽器,,,amiami:10469670,19440.0,0,0.0,amiami,あみあみ
344,14,劇場版銀魂 完結篇 万事屋よ永遠なれ 【完全生産限定版】【Blu-ray】 [ 杉田智和 ],505041,CD・DVD・楽器,,,book:16620263,7466.0,9,5.0,book,楽天ブックス
345,16,よろず占い処　陰陽屋へようこそ Blu-ray BOX【Blu-ray】 [ 錦戸亮 ],505038,CD・DVD・楽器,,,,,,,,
346,17,"First Love -15th Anniversary Deluxe Edition-(15,000セット完全生産限定盤 シリアルナンバー付き豪華装丁 3CD+DVD) [ 宇多田ヒカル ]",101320,CD・DVD・楽器,,,,,,,,
347,18,アコースティックギター HONEY BEE W-15/F-15 16点入門セット【今だけ人気ブランドピック5枚プレゼント！】【レビューを書いてDVDプレゼント！】【アコギ 初心者 W15 F15 クリスマスプレゼント】,553687,CD・DVD・楽器,,,,,,,,
348,19,【1次予約】THE STAR 2014.1月号表紙：キム・ヒョンジュン(Kim Hyun Joong),553678,CD・DVD・楽器,,,,,,,,
349,26,2ndアルバム(タイトル未定)(初回限定盤A CD+DVD) [ Sexy Zone ],101320,CD・DVD・楽器,,,book:16753524,2870.0,0,0.0,book,楽天ブックス
350,21,2ndアルバム(タイトル未定)(初回限定盤B CD+DVD) [ Sexy Zone ],101320,CD・DVD・楽器,,,,,,,,
351,22,LOVE & PEACE(初回限定盤 CD+DVD) [ 少女時代 ],101320,CD・DVD・楽器,,,,,,,,
352,23,【1次予約】2014 シーズングリーティング - キム・ヒョンジュン（KIM HYUN JOONG）,553678,CD・DVD・楽器,,,,,,,,
353,21,B'z LIVE-GYM Pleasure 2013 ENDLESS SUMMER -XXV BEST- 【完全盤】 [ B'z ],300339,CD・DVD・楽器,,,book:16739814,6930.0,9,4.89,book,楽天ブックス
354,15,東方神起 LIVE TOUR 2013 ～TIME～ FINAL in NISSAN STADIUM 【Blu-ray】 [ 東方神起 ],505042,CD・DVD・楽器,,,book:16702770,5119.0,26,4.96,book,楽天ブックス
355,18,SUPER SUMMER LIVE 2013 “灼熱のマンピー!! G★スポット解禁!!” 胸熱完全版 【完全生産限定盤】【Blu-ray】 [ サザンオールスターズ ],505042,CD・DVD・楽器,,,book:16714361,8400.0,15,5.0,book,楽天ブックス
356,20,KOBUKURO LIVE TOUR 2013 “One Song From Two Hearts” FINAL at 京セラドーム大阪（2DVD） [ コブクロ ],300339,CD・DVD・楽器,,,book:16662984,4389.0,4,5.0,book,楽天ブックス
